	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
Trial1.fna_assembly_LT906445.1_1053	Trial1.fna_assembly	LT906445.1	1053	1193533	1194276	-1	C	K09013	Fe-S cluster assembly ATP-binding protein								ABC transporter [PF00005.30]					0
Trial1.fna_assembly_LT906445.1_1054	Trial1.fna_assembly	LT906445.1	1054	1194571	1195827	-1	C	K01586	diaminopimelate decarboxylase [EC:4.1.1.20]								Pyridoxal-dependent decarboxylase, pyridoxal binding domain [PF02784.19]; Pyridoxal-dependent decarboxylase, C-terminal sheet domain [PF00278.25]					0
Trial1.fna_assembly_LT906445.1_1055	Trial1.fna_assembly	LT906445.1	1055	1195891	1196307	-1	C	K15977	putative oxidoreductase								DoxX [PF07681.15]					0
Trial1.fna_assembly_LT906445.1_1056	Trial1.fna_assembly	LT906445.1	1056	1196641	1198266	-1	C	K04077	chaperonin GroEL								TCP-1/cpn60 chaperonin family [PF00118.27]					0
Trial1.fna_assembly_LT906445.1_1057	Trial1.fna_assembly	LT906445.1	1057	1198379	1198660	-1	C	K04078	chaperonin GroES								Chaperonin 10 Kd subunit [PF00166.24]					0
Trial1.fna_assembly_LT906445.1_1058	Trial1.fna_assembly	LT906445.1	1058	1198792	1199370	-1	C	K22010	two-component system, response regulator PdtaR								Response regulator receiver domain [PF00072.27]; ANTAR domain [PF03861.17]					0
Trial1.fna_assembly_LT906445.1_1059	Trial1.fna_assembly	LT906445.1	1059	1199371	1200762	-1	C	K00936	two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]								Histidine kinase [PF07568.15]; Histidine kinase-like ATPase domain [PF13581.9]; HWE histidine kinase [PF07536.17]					0
Trial1.fna_assembly_LT906445.1_1060	Trial1.fna_assembly	LT906445.1	1060	1200765	1201796	-1	C	K25706	tRNA N6-adenosine threonylcarbamoyltransferase [EC:2.3.1.234]								tRNA N6-adenosine threonylcarbamoyltransferase [PF00814.28]					0
Trial1.fna_assembly_LT906445.1_1061	Trial1.fna_assembly	LT906445.1	1061	1201793	1202242	-1	C	K03789	[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]								Acetyltransferase (GNAT) domain [PF13420.10]; Acetyltransferase (GNAT) family [PF00583.28]; Acetyltransferase (GNAT) domain [PF13508.10]; Acetyltransferase (GNAT) domain [PF13302.10]; FR47-like protein [PF08445.13]; GNAT acetyltransferase [PF12746.10]; Acetyltransferase (GNAT) domain [PF13673.10]					0
Trial1.fna_assembly_LT906445.1_1062	Trial1.fna_assembly	LT906445.1	1062	1202242	1203000	-1	C	K14742	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB								tRNA N6-adenosine threonylcarbamoyltransferase [PF00814.28]					0
Trial1.fna_assembly_LT906445.1_1063	Trial1.fna_assembly	LT906445.1	1063	1202984	1203478	-1	C	K06925	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE								Threonylcarbamoyl adenosine biosynthesis protein TsaE [PF02367.20]					0
Trial1.fna_assembly_LT906445.1_1064	Trial1.fna_assembly	LT906445.1	1064	1203468	1204448	-1	C	K00946	thiamine-monophosphate kinase [EC:2.7.4.16]								AIR synthase related protein, N-terminal domain [PF00586.27]					0
Trial1.fna_assembly_LT906445.1_1065	Trial1.fna_assembly	LT906445.1	1065	1204561	1205121	-1	D										Sporulation and spore germination [PF10646.12]					0
Trial1.fna_assembly_LT906445.1_1066	Trial1.fna_assembly	LT906445.1	1066	1205125	1206222	-1	C	K01448	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]								N-acetylmuramoyl-L-alanine amidase [PF01520.21]					0
Trial1.fna_assembly_LT906445.1_1067	Trial1.fna_assembly	LT906445.1	1067	1206467	1207411	-1	C	K02238	competence protein ComEC								Metallo-beta-lactamase superfamily [PF00753.30]					0
Trial1.fna_assembly_LT906445.1_1068	Trial1.fna_assembly	LT906445.1	1068	1207408	1208985	-1	C	K23997	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]								Carbohydrate kinase [PF01256.20]; YjeF-related protein N-terminus [PF03853.18]					0
Trial1.fna_assembly_LT906445.1_1069	Trial1.fna_assembly	LT906445.1	1069	1208987	1209358	-1	C	K00997	holo-[acyl-carrier protein] synthase [EC:2.7.8.7]								4'-phosphopantetheinyl transferase superfamily [PF01648.23]					0
Trial1.fna_assembly_LT906445.1_1070	Trial1.fna_assembly	LT906445.1	1070	1209427	1210218	-1	E															0
Trial1.fna_assembly_LT906445.1_1071	Trial1.fna_assembly	LT906445.1	1071	1210223	1210408	-1	E															0
Trial1.fna_assembly_LT906445.1_1072	Trial1.fna_assembly	LT906445.1	1072	1210451	1211212	-1	C	K03787	5'/3'-nucleotidase [EC:3.1.3.5 3.1.3.6]								Survival protein SurE [PF01975.20]					0
Trial1.fna_assembly_LT906445.1_1073	Trial1.fna_assembly	LT906445.1	1073	1211230	1212492	-1	D										Glycosyltransferase like family 2 [PF13641.9]; Glycosyl transferase family group 2 [PF13632.9]; Glycosyl transferase family 21 [PF13506.9]	GT2_Glyco_tranf_2_3; GT2_Glyco_trans_2_3	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289); alternating beta-1,3/4-N-acetylmannan synthase (2.4.1.-); UDP-GlcA: N-acetylglucosaminyl-proteoglycan beta-1,4-glucuronosyltransferase (EC 2.4.1.225); [inverting] UDP-Glc: glycocin S-beta-glucosyltransferase (EC 2.4.1.-); [inverting] UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-)		GT2_Glyco_tranf_2_3.hmm	0
Trial1.fna_assembly_LT906445.1_1074	Trial1.fna_assembly	LT906445.1	1074	1212512	1213183	-1	C	K17103	CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]								CDP-alcohol phosphatidyltransferase [PF01066.24]					0
Trial1.fna_assembly_LT906445.1_1075	Trial1.fna_assembly	LT906445.1	1075	1213176	1213817	-1	C	K01613	phosphatidylserine decarboxylase [EC:4.1.1.65]								Phosphatidylserine decarboxylase [PF02666.18]					0
Trial1.fna_assembly_LT906445.1_1076	Trial1.fna_assembly	LT906445.1	1076	1213832	1214554	-1	C	K05946	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]								Glycosyl transferase WecG/TagA/CpsF family [PF03808.16]	GT26	GT26 UDP-ManNAcA: beta-N-acetyl mannosaminuronyltransferase (EC 2.4.1.-); UDP-ManNAc: beta-N-acetyl-mannosaminyltransferase (EC 2.4.1.-); UDP-Glc: beta-1,4-glucosyltransferase (EC 2.4.1.-); UDP-Gal: beta-1,4-galactosyltransferase (EC 2.4.1.-)	2.4.1.-	GT26.hmm	0
Trial1.fna_assembly_LT906445.1_1077	Trial1.fna_assembly	LT906445.1	1077	1214570	1216024	-1	C	K00088	IMP dehydrogenase [EC:1.1.1.205]								IMP dehydrogenase / GMP reductase domain [PF00478.28]; CBS domain [PF00571.31]; FMN-dependent dehydrogenase [PF01070.21]					0
Trial1.fna_assembly_LT906445.1_1078	Trial1.fna_assembly	LT906445.1	1078	1216101	1216286	-1	C	K01821	4-oxalocrotonate tautomerase [EC:5.3.2.6]								Tautomerase enzyme [PF01361.24]; Putative oxalocrotonate tautomerase enzyme [PF14832.9]					0
Trial1.fna_assembly_LT906445.1_1079	Trial1.fna_assembly	LT906445.1	1079	1216419	1218461	-1	C	K03655	ATP-dependent DNA helicase RecG [EC:5.6.2.4]								RecG wedge domain [PF17191.7]; ATP-dependent DNA helicase RecG, domain 3, C-terminal [PF19833.2]; Helicase conserved C-terminal domain [PF00271.34]; Type III restriction enzyme, res subunit [PF04851.18]; DEAD/DEAH box helicase [PF00270.32]					0
Trial1.fna_assembly_LT906445.1_1080	Trial1.fna_assembly	LT906445.1	1080	1218685	1218873	1	C	K02902	large subunit ribosomal protein L28								Ribosomal L28 family [PF00830.22]					0
Trial1.fna_assembly_LT906445.1_1081	Trial1.fna_assembly	LT906445.1	1081	1218958	1219947	-1	C	K01129	dGTPase [EC:3.1.5.1]								Phosphohydrolase-associated domain [PF13286.9]; HD domain [PF01966.25]					0
Trial1.fna_assembly_LT906445.1_1082	Trial1.fna_assembly	LT906445.1	1082	1219944	1220765	-1	C	K09773	[pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]								Kinase/pyrophosphorylase [PF03618.17]					0
Trial1.fna_assembly_LT906445.1_1083	Trial1.fna_assembly	LT906445.1	1083	1220776	1221453	-1	C	K23774	DeoR family transcriptional regulator, catabolite repression regulator													0
Trial1.fna_assembly_LT906445.1_1084	Trial1.fna_assembly	LT906445.1	1084	1221504	1223885	-1	C	K01007	pyruvate, water dikinase [EC:2.7.9.2]								Pyruvate phosphate dikinase, AMP/ATP-binding domain [PF01326.22]; PEP-utilising enzyme, PEP-binding domain [PF02896.21]; PEP-utilising enzyme, mobile domain [PF00391.26]					0
Trial1.fna_assembly_LT906445.1_1085	Trial1.fna_assembly	LT906445.1	1085	1223963	1224604	-1	D										NUDIX domain [PF00293.31]					0
Trial1.fna_assembly_LT906445.1_1086	Trial1.fna_assembly	LT906445.1	1086	1224824	1226032	-1	C	K01866	tyrosyl-tRNA synthetase [EC:6.1.1.1]								tRNA synthetases class I (W and Y) [PF00579.28]; tRNA synthetases class I (I, L, M and V) [PF00133.25]					0
Trial1.fna_assembly_LT906445.1_1087	Trial1.fna_assembly	LT906445.1	1087	1226190	1228280	1	C	K05366	penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4]								Transglycosylase [PF00912.25]; Penicillin binding protein transpeptidase domain [PF00905.25]	GT51	GT51 murein polymerase (EC 2.4.1.129).	2.4.1.129	GT51.hmm	0
Trial1.fna_assembly_LT906445.1_1088	Trial1.fna_assembly	LT906445.1	1088	1228438	1230876	-1	C	K07456	DNA mismatch repair protein MutS2								MutS domain V [PF00488.24]; Smr domain [PF01713.24]					0
Trial1.fna_assembly_LT906445.1_1089	Trial1.fna_assembly	LT906445.1	1089	1230830	1233253	-1	C	K08303	U32 family peptidase [EC:3.4.-.-]	MER0129819	U32	MER0129819 - family U32 unassigned peptidases (Veillonella parvula) [U32.UPW]#U32#{peptidase unit: 24-333}~source GEBA2500347378~	True	0.946	618.0	8.951e-191	Peptidase family U32 [PF01136.22]; Collagenase [PF12392.11]					0
Trial1.fna_assembly_LT906445.1_1090	Trial1.fna_assembly	LT906445.1	1090	1233341	1235785	-1	C	K01890	phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]								Phenylalanyl tRNA synthetase beta chain CLM domain [PF17759.4]; B3/4 domain [PF03483.20]; Ferredoxin-fold anticodon binding domain [PF03147.17]; Putative tRNA binding domain [PF01588.23]; tRNA synthetase B5 domain [PF03484.18]					0
Trial1.fna_assembly_LT906445.1_1091	Trial1.fna_assembly	LT906445.1	1091	1235795	1236817	-1	C	K01889	phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]								tRNA synthetases class II core domain (F) [PF01409.23]; Aminoacyl tRNA synthetase class II, N-terminal domain [PF02912.21]					0
Trial1.fna_assembly_LT906445.1_1092	Trial1.fna_assembly	LT906445.1	1092	1236854	1237318	-1	D										Thioesterase superfamily [PF03061.25]					0
Trial1.fna_assembly_LT906445.1_1093	Trial1.fna_assembly	LT906445.1	1093	1237544	1238755	-1	C	K02004	putative ABC transport system permease protein								MacB-like periplasmic core domain [PF12704.10]; FtsX-like permease family [PF02687.24]					0
Trial1.fna_assembly_LT906445.1_1094	Trial1.fna_assembly	LT906445.1	1094	1238748	1239470	-1	C	K02003	putative ABC transport system ATP-binding protein								ABC transporter [PF00005.30]					0
Trial1.fna_assembly_LT906445.1_1095	Trial1.fna_assembly	LT906445.1	1095	1239483	1240565	-1	C	K02005	HlyD family secretion protein								Barrel-sandwich domain of CusB or HlyD membrane-fusion [PF16576.8]; Cation efflux system protein CusB domain 1 [PF00529.23]; HlyD family secretion protein [PF13437.9]; Biotin-lipoyl like [PF13533.9]					0
Trial1.fna_assembly_LT906445.1_1096	Trial1.fna_assembly	LT906445.1	1096	1240725	1241639	-1	D										Phosphofructokinase [PF00365.23]					0
Trial1.fna_assembly_LT906445.1_1097	Trial1.fna_assembly	LT906445.1	1097	1241611	1242432	-1	C	K00891	shikimate kinase [EC:2.7.1.71]								Shikimate kinase [PF01202.25]					0
Trial1.fna_assembly_LT906445.1_1098	Trial1.fna_assembly	LT906445.1	1098	1242573	1242962	-1	E															0
Trial1.fna_assembly_LT906445.1_1099	Trial1.fna_assembly	LT906445.1	1099	1242970	1243566	-1	E															0
Trial1.fna_assembly_LT906445.1_1100	Trial1.fna_assembly	LT906445.1	1100	1243550	1244404	-1	E															0
Trial1.fna_assembly_LT906445.1_1101	Trial1.fna_assembly	LT906445.1	1101	1244414	1244821	-1	E															0
Trial1.fna_assembly_LT906445.1_1102	Trial1.fna_assembly	LT906445.1	1102	1244802	1245473	-1	E															0
Trial1.fna_assembly_LT906445.1_1103	Trial1.fna_assembly	LT906445.1	1103	1245470	1245826	-1	E															0
Trial1.fna_assembly_LT906445.1_1104	Trial1.fna_assembly	LT906445.1	1104	1245834	1246295	-1	E															0
Trial1.fna_assembly_LT906445.1_1105	Trial1.fna_assembly	LT906445.1	1105	1246274	1246816	-1	D			MER0129818	A24X	MER0129818 - family A24 unassigned peptidases (Veillonella parvula) [A24.UPW]#A24X#{peptidase unit: 10-160}~source D1BN05~	False	0.954	305.0	8.009e-94	Type IV leader peptidase family [PF01478.21]					0
Trial1.fna_assembly_LT906445.1_1106	Trial1.fna_assembly	LT906445.1	1106	1246870	1247316	-1	E															0
Trial1.fna_assembly_LT906445.1_1107	Trial1.fna_assembly	LT906445.1	1107	1247354	1248529	-1	D										Type II secretion system (T2SS), protein F [PF00482.26]					0
Trial1.fna_assembly_LT906445.1_1108	Trial1.fna_assembly	LT906445.1	1108	1248538	1249557	-1	D										Type II/IV secretion system protein [PF00437.23]					0
Trial1.fna_assembly_LT906445.1_1109	Trial1.fna_assembly	LT906445.1	1109	1249541	1250551	-1	D										Type II/IV secretion system protein [PF00437.23]					0
Trial1.fna_assembly_LT906445.1_1110	Trial1.fna_assembly	LT906445.1	1110	1250740	1252023	-1	C	K01689	enolase [EC:4.2.1.11]								Enolase, C-terminal TIM barrel domain [PF00113.25]; Enolase, N-terminal domain [PF03952.19]					0
Trial1.fna_assembly_LT906445.1_1111	Trial1.fna_assembly	LT906445.1	1111	1252141	1253667	-1	C	K15633	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]								BPG-independent PGAM N-terminus (iPGM_N) [PF06415.16]; Metalloenzyme superfamily [PF01676.21]					0
Trial1.fna_assembly_LT906445.1_1112	Trial1.fna_assembly	LT906445.1	1112	1253681	1254451	-1	C	K01803	triosephosphate isomerase (TIM) [EC:5.3.1.1]								Triosephosphate isomerase [PF00121.21]					0
Trial1.fna_assembly_LT906445.1_1113	Trial1.fna_assembly	LT906445.1	1113	1254453	1255631	-1	C	K00927	phosphoglycerate kinase [EC:2.7.2.3]								Phosphoglycerate kinase [PF00162.22]					0
Trial1.fna_assembly_LT906445.1_1114	Trial1.fna_assembly	LT906445.1	1114	1255645	1256655	-1	C	K00134	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]								Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain [PF02800.23]; Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain [PF00044.27]					0
Trial1.fna_assembly_LT906445.1_1115	Trial1.fna_assembly	LT906445.1	1115	1256723	1257748	-1	C	K05311	central glycolytic genes regulator								Putative sugar-binding domain [PF04198.16]					0
Trial1.fna_assembly_LT906445.1_1116	Trial1.fna_assembly	LT906445.1	1116	1257993	1258619	-1	C	K00761	uracil phosphoribosyltransferase [EC:2.4.2.9]								Uracil phosphoribosyltransferase [PF14681.9]					0
Trial1.fna_assembly_LT906445.1_1117	Trial1.fna_assembly	LT906445.1	1117	1258805	1260037	-1	C	K00600	glycine hydroxymethyltransferase [EC:2.1.2.1]								Serine hydroxymethyltransferase [PF00464.22]; Aminotransferase class-V [PF00266.22]; Beta-eliminating lyase [PF01212.24]; Orn/Lys/Arg decarboxylase, major domain [PF01276.23]; L-seryl-tRNA selenium transferase [PF03841.16]					0
Trial1.fna_assembly_LT906445.1_1118	Trial1.fna_assembly	LT906445.1	1118	1260083	1260520	-1	C	K01808	ribose 5-phosphate isomerase B [EC:5.3.1.6]								Ribose/Galactose Isomerase [PF02502.21]					0
Trial1.fna_assembly_LT906445.1_1119	Trial1.fna_assembly	LT906445.1	1119	1260532	1260978	-1	C	K20201	protein arginine phosphatase [EC:3.9.1.2]								Low molecular weight phosphotyrosine protein phosphatase [PF01451.24]					0
Trial1.fna_assembly_LT906445.1_1120	Trial1.fna_assembly	LT906445.1	1120	1261091	1262122	-1	C	K07566	L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]								Telomere recombination [PF01300.21]; Threonylcarbamoyl-AMP synthase, C-terminal domain [PF03481.16]					0
Trial1.fna_assembly_LT906445.1_1121	Trial1.fna_assembly	LT906445.1	1121	1262124	1262993	-1	C	K02493	release factor glutamine methyltransferase [EC:2.1.1.297]								Methyltransferase small domain [PF05175.17]; Putative RNA methylase family UPF0020 [PF01170.21]; PrmC N-terminal domain [PF17827.4]; Methyltransferase domain [PF13847.9]; N-6 DNA Methylase [PF02384.19]; Methyltransferase domain [PF13649.9]; O-methyltransferase domain [PF00891.21]; RNA methyltransferase [PF05971.15]; Ribosomal protein L11 methyltransferase (PrmA) [PF06325.16]; Conserved hypothetical protein 95 [PF03602.18]					0
Trial1.fna_assembly_LT906445.1_1122	Trial1.fna_assembly	LT906445.1	1122	1262986	1264068	-1	C	K02835	peptide chain release factor 1								PCRF domain [PF03462.21]; RF-1 domain [PF00472.23]					0
Trial1.fna_assembly_LT906445.1_1123	Trial1.fna_assembly	LT906445.1	1123	1264071	1264961	-1	D										Protein of unknown function (DUF1385) [PF07136.14]					0
Trial1.fna_assembly_LT906445.1_1124	Trial1.fna_assembly	LT906445.1	1124	1265034	1265231	-1	C	K02909	large subunit ribosomal protein L31								Ribosomal protein L31 [PF01197.21]					1
Trial1.fna_assembly_LT906445.1_1125	Trial1.fna_assembly	LT906445.1	1125	1265311	1265580	-1	D										Transcriptional Coactivator p15 (PC4) [PF02229.19]					0
Trial1.fna_assembly_LT906445.1_1126	Trial1.fna_assembly	LT906445.1	1126	1265685	1267130	-1	E															0
Trial1.fna_assembly_LT906445.1_1127	Trial1.fna_assembly	LT906445.1	1127	1267132	1267767	-1	C	K10773	endonuclease III [EC:4.2.99.18]								HhH-GPD superfamily base excision DNA repair protein [PF00730.28]; Helix-hairpin-helix motif [PF00633.26]					0
Trial1.fna_assembly_LT906445.1_1128	Trial1.fna_assembly	LT906445.1	1128	1267891	1268160	1	D										Bacterial protein of unknown function (DUF896) [PF05979.15]					0
Trial1.fna_assembly_LT906445.1_1129	Trial1.fna_assembly	LT906445.1	1129	1268290	1269537	-1	D										Aminotransferase class I and II [PF00155.24]					0
Trial1.fna_assembly_LT906445.1_1130	Trial1.fna_assembly	LT906445.1	1130	1269785	1270354	-1	E															0
Trial1.fna_assembly_LT906445.1_1131	Trial1.fna_assembly	LT906445.1	1131	1270435	1271475	-1	C	K03531	cell division protein FtsZ								FtsZ family, C-terminal domain [PF12327.11]; Tubulin/FtsZ family, GTPase domain [PF00091.28]					0
Trial1.fna_assembly_LT906445.1_1132	Trial1.fna_assembly	LT906445.1	1132	1271614	1271958	-1	D										Protein of unknown function (DUF1290) [PF06947.15]					0
Trial1.fna_assembly_LT906445.1_1133	Trial1.fna_assembly	LT906445.1	1133	1271955	1272650	-1	D										Bacterial protein of unknown function (DUF881) [PF05949.15]					0
Trial1.fna_assembly_LT906445.1_1134	Trial1.fna_assembly	LT906445.1	1134	1272651	1273532	-1	C	K03589	cell division protein FtsQ								Cell division protein FtsQ/DivIB, C-terminal [PF03799.18]; POTRA domain, FtsQ-type [PF08478.13]					0
Trial1.fna_assembly_LT906445.1_1135	Trial1.fna_assembly	LT906445.1	1135	1273561	1274493	-1	C	K01921	D-alanine-D-alanine ligase [EC:6.3.2.4]								D-ala D-ala ligase C-terminus [PF07478.16]; D-ala D-ala ligase N-terminus [PF01820.24]; ATP-grasp domain [PF02655.17]; ATP-grasp domain [PF13535.9]; Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain [PF01071.22]; ATP-grasp domain [PF02222.25]; Carbamoyl-phosphate synthase L chain, ATP binding domain [PF02786.20]					0
Trial1.fna_assembly_LT906445.1_1136	Trial1.fna_assembly	LT906445.1	1136	1274490	1275872	-1	C	K01924	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]								Mur ligase middle domain [PF08245.15]; Mur ligase family, catalytic domain [PF01225.28]; Mur ligase family, glutamate ligase domain [PF02875.24]					0
Trial1.fna_assembly_LT906445.1_1137	Trial1.fna_assembly	LT906445.1	1137	1275887	1276996	-1	C	K02563	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]								Glycosyltransferase family 28 N-terminal domain [PF03033.23]; Glycosyltransferase family 28 C-terminal domain [PF04101.19]	GT28	GT28 1,2-diacylglycerol 3-beta-galactosyltransferase (EC 2.4.1.46); 1,2-diacylglycerol 3-beta-glucosyltransferase (EC 2.4.1.157); UDP-GlcNAc: Und-PP-MurAc-pentapeptide beta-N-acetylglucosaminyltransferase (EC 2.4.1.227); digalactosyldiacylglycerol synthase (EC 2.4.1.241)	2.4.1.157,2.4.1.227,2.4.1.241,2.4.1.46	GT28.hmm	0
Trial1.fna_assembly_LT906445.1_1138	Trial1.fna_assembly	LT906445.1	1138	1276996	1278366	-1	C	K01925	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]								Mur ligase middle domain [PF08245.15]; Putative NAD(P)-binding [PF13241.9]					0
Trial1.fna_assembly_LT906445.1_1139	Trial1.fna_assembly	LT906445.1	1139	1278450	1279436	-1	C	K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]								Glycosyl transferase family 4 [PF00953.24]					0
Trial1.fna_assembly_LT906445.1_1140	Trial1.fna_assembly	LT906445.1	1140	1279493	1280851	-1	C	K01929	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]								Mur ligase middle domain [PF08245.15]; Mur ligase family, glutamate ligase domain [PF02875.24]; Mur ligase family, catalytic domain [PF01225.28]					0
Trial1.fna_assembly_LT906445.1_1141	Trial1.fna_assembly	LT906445.1	1141	1280853	1282337	-1	C	K01928	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]								Mur ligase middle domain [PF08245.15]; Mur ligase family, glutamate ligase domain [PF02875.24]; Mur ligase family, catalytic domain [PF01225.28]; Putative NAD(P)-binding [PF13241.9]					0
Trial1.fna_assembly_LT906445.1_1142	Trial1.fna_assembly	LT906445.1	1142	1282393	1282797	-1	C	K03586	cell division protein FtsL								Cell division protein FtsL [PF04999.16]; Septum formation initiator [PF04977.18]					0
Trial1.fna_assembly_LT906445.1_1143	Trial1.fna_assembly	LT906445.1	1143	1282819	1283751	-1	C	K03438	16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]								MraW methylase family [PF01795.22]					0
Trial1.fna_assembly_LT906445.1_1144	Trial1.fna_assembly	LT906445.1	1144	1283761	1284192	-1	C	K03925	transcriptional regulator MraZ								MraZ protein, putative antitoxin-like [PF02381.21]					0
Trial1.fna_assembly_LT906445.1_1145	Trial1.fna_assembly	LT906445.1	1145	1284576	1284896	-1	C	K03671	thioredoxin 1								Thioredoxin [PF00085.23]; Redoxin [PF08534.13]; Thioredoxin-like [PF13905.9]; Thioredoxin-like domain [PF13098.9]; Thioredoxin-like [PF13899.9]; AhpC/TSA family [PF00578.24]; Thioredoxin domain [PF13192.9]; Eukaryotic protein of unknown function (DUF953) [PF06110.14]					0
Trial1.fna_assembly_LT906445.1_1146	Trial1.fna_assembly	LT906445.1	1146	1284906	1285280	-1	C	K06929	uncharacterized protein								CoA binding domain [PF13380.9]					0
Trial1.fna_assembly_LT906445.1_1147	Trial1.fna_assembly	LT906445.1	1147	1285413	1286387	-1	C	K01885	glutamyl-tRNA synthetase [EC:6.1.1.17]								tRNA synthetases class I (E and Q), catalytic domain [PF00749.24]					0
Trial1.fna_assembly_LT906445.1_1148	Trial1.fna_assembly	LT906445.1	1148	1286468	1289377	-1	C	K06972	presequence protease [EC:3.4.24.-]	MER0316422	M16C	MER0316422 - subfamily M16C unassigned peptidases (Veillonella sp. 6_1_27) [M16.UPC]#M16C#{peptidase unit: 57-533}~source ZP_06757200~	True	0.956	960.0	8.924e-306	Peptidase M16C associated [PF08367.14]; Peptidase M16 inactive domain [PF05193.24]; Insulinase (Peptidase family M16) [PF00675.23]					0
Trial1.fna_assembly_LT906445.1_1149	Trial1.fna_assembly	LT906445.1	1149	1289518	1289835	-1	E															0
Trial1.fna_assembly_LT906445.1_1150	Trial1.fna_assembly	LT906445.1	1150	1289843	1291072	-1	C	K00928	aspartate kinase [EC:2.7.2.4]								Amino acid kinase family [PF00696.31]; ACT domain [PF13840.9]					0
Trial1.fna_assembly_LT906445.1_1151	Trial1.fna_assembly	LT906445.1	1151	1291392	1291781	-1	C	K05919	superoxide reductase [EC:1.15.1.2]								Desulfoferrodoxin [PF01880.21]					0
Trial1.fna_assembly_LT906445.1_1152	Trial1.fna_assembly	LT906445.1	1152	1291920	1292462	-1	C	K19221	cob(I)alamin adenosyltransferase [EC:2.5.1.17]								ATP:corrinoid adenosyltransferase BtuR/CobO/CobP [PF02572.18]					0
Trial1.fna_assembly_LT906445.1_1153	Trial1.fna_assembly	LT906445.1	1153	1292667	1294043	-1	C	K02224	cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]	MER0183725	C26	MER0183725 - family C26 non-peptidase homologues (Cenarchaeum symbiosum) [C26.UNW]#C26#{peptidase unit: 1-423}~source YP_876856~	False	0.412	308.0	5.653e-90	CobB/CobQ-like glutamine amidotransferase domain [PF07685.17]; AAA domain [PF13500.9]					0
